geos_chem run at 20210104, 10:43:57
temp_res: 0030  nstep: 0015
step,  mem_st,  mem_end,  year_st,  year_end, doy_st,  doy_end,  ch4flnm, output_name, index_method
056, 0001, 0037, 2018, 2018, 244, 335,CH4_EMISSION.2018D244,ST008.EN0001-EN0037,0
057, 0001, 0037, 2018, 2019, 274, 001,CH4_EMISSION.2018D274,ST009.EN0001-EN0037,0
058, 0001, 0037, 2018, 2019, 305, 032,CH4_EMISSION.2018D305,ST010.EN0001-EN0037,0
059, 0001, 0037, 2018, 2019, 335, 060,CH4_EMISSION.2018D335,ST011.EN0001-EN0037,0
060, 0001, 0037, 2019, 2019, 001, 091,CH4_EMISSION.2019D001,ST000.EN0001-EN0037,0
061, 0001, 0037, 2019, 2019, 032, 121,CH4_EMISSION.2019D032,ST001.EN0001-EN0037,0
062, 0001, 0037, 2019, 2019, 060, 152,CH4_EMISSION.2019D060,ST002.EN0001-EN0037,0
063, 0001, 0037, 2019, 2019, 091, 182,CH4_EMISSION.2019D091,ST003.EN0001-EN0037,0
064, 0001, 0037, 2019, 2019, 121, 213,CH4_EMISSION.2019D121,ST004.EN0001-EN0037,0
065, 0001, 0037, 2019, 2019, 152, 244,CH4_EMISSION.2019D152,ST005.EN0001-EN0037,0
066, 0001, 0037, 2019, 2019, 182, 274,CH4_EMISSION.2019D182,ST006.EN0001-EN0037,0
067, 0001, 0037, 2019, 2019, 213, 305,CH4_EMISSION.2019D213,ST007.EN0001-EN0037,0
068, 0001, 0037, 2019, 2019, 244, 335,CH4_EMISSION.2019D244,ST008.EN0001-EN0037,0
069, 0001, 0037, 2019, 2020, 274, 001,CH4_EMISSION.2019D274,ST009.EN0001-EN0037,0
070, 0001, 0037, 2019, 2020, 305, 032,CH4_EMISSION.2019D305,ST010.EN0001-EN0037,0
071, 0001, 0037, 2019, 2020, 335, 061,CH4_EMISSION.2019D335,ST011.EN0001-EN0037,0
