geos_chem run at 20201115, 11:01:51
temp_res: 0030  nstep: 0015
step,  mem_st,  mem_end,  year_st,  year_end, doy_st,  doy_end,  ch4flnm, output_name, index_method
000, 0001, 0040, 2016, 2016, 001, 092,CH4_EMISSION.2016D001,ST000.EN0001-EN0040,0
001, 0001, 0040, 2016, 2016, 032, 122,CH4_EMISSION.2016D032,ST001.EN0001-EN0040,0
002, 0001, 0040, 2016, 2016, 061, 153,CH4_EMISSION.2016D061,ST002.EN0001-EN0040,0
003, 0001, 0040, 2016, 2016, 092, 183,CH4_EMISSION.2016D092,ST003.EN0001-EN0040,0
004, 0001, 0040, 2016, 2016, 122, 214,CH4_EMISSION.2016D122,ST004.EN0001-EN0040,0
005, 0001, 0040, 2016, 2016, 153, 245,CH4_EMISSION.2016D153,ST005.EN0001-EN0040,0
006, 0001, 0040, 2016, 2016, 183, 275,CH4_EMISSION.2016D183,ST006.EN0001-EN0040,0
007, 0001, 0040, 2016, 2016, 214, 306,CH4_EMISSION.2016D214,ST007.EN0001-EN0040,0
008, 0001, 0040, 2016, 2016, 245, 336,CH4_EMISSION.2016D245,ST008.EN0001-EN0040,0
009, 0001, 0040, 2016, 2017, 275, 001,CH4_EMISSION.2016D275,ST009.EN0001-EN0040,0
010, 0001, 0040, 2016, 2017, 306, 032,CH4_EMISSION.2016D306,ST010.EN0001-EN0040,0
011, 0001, 0040, 2016, 2017, 336, 060,CH4_EMISSION.2016D336,ST011.EN0001-EN0040,0
012, 0001, 0040, 2017, 2017, 001, 091,CH4_EMISSION.2017D001,ST012.EN0001-EN0040,0
013, 0001, 0040, 2017, 2017, 032, 121,CH4_EMISSION.2017D032,ST013.EN0001-EN0040,0
014, 0001, 0040, 2017, 2017, 060, 152,CH4_EMISSION.2017D060,ST014.EN0001-EN0040,0
