geos_chem run at 20210207, 23:34:50
temp_res: 0030  nstep: 0015
step,  mem_st,  mem_end,  year_st,  year_end, doy_st,  doy_end,  ch4flnm, output_name, index_method
000, 0038, 0082, 2010, 2010, 001, 091,CH4_EMISSION.2010D001,ST000.EN0038-EN0082,0
001, 0038, 0082, 2010, 2010, 032, 121,CH4_EMISSION.2010D032,ST001.EN0038-EN0082,0
002, 0038, 0082, 2010, 2010, 060, 152,CH4_EMISSION.2010D060,ST002.EN0038-EN0082,0
003, 0038, 0082, 2010, 2010, 091, 182,CH4_EMISSION.2010D091,ST003.EN0038-EN0082,0
004, 0038, 0082, 2010, 2010, 121, 213,CH4_EMISSION.2010D121,ST004.EN0038-EN0082,0
005, 0038, 0082, 2010, 2010, 152, 244,CH4_EMISSION.2010D152,ST005.EN0038-EN0082,0
006, 0038, 0082, 2010, 2010, 182, 274,CH4_EMISSION.2010D182,ST006.EN0038-EN0082,0
007, 0038, 0082, 2010, 2010, 213, 305,CH4_EMISSION.2010D213,ST007.EN0038-EN0082,0
008, 0038, 0082, 2010, 2010, 244, 335,CH4_EMISSION.2010D244,ST008.EN0038-EN0082,0
009, 0038, 0082, 2010, 2011, 274, 001,CH4_EMISSION.2010D274,ST009.EN0038-EN0082,0
010, 0038, 0082, 2010, 2011, 305, 032,CH4_EMISSION.2010D305,ST010.EN0038-EN0082,0
011, 0038, 0082, 2010, 2011, 335, 060,CH4_EMISSION.2010D335,ST011.EN0038-EN0082,0
012, 0038, 0082, 2011, 2011, 001, 091,CH4_EMISSION.2011D001,ST000.EN0038-EN0082,0
013, 0038, 0082, 2011, 2011, 032, 121,CH4_EMISSION.2011D032,ST001.EN0038-EN0082,0
014, 0038, 0082, 2011, 2011, 060, 152,CH4_EMISSION.2011D060,ST002.EN0038-EN0082,0
015, 0038, 0082, 2011, 2011, 091, 182,CH4_EMISSION.2011D091,ST003.EN0038-EN0082,0
016, 0038, 0082, 2011, 2011, 121, 213,CH4_EMISSION.2011D121,ST004.EN0038-EN0082,0
017, 0038, 0082, 2011, 2011, 152, 244,CH4_EMISSION.2011D152,ST005.EN0038-EN0082,0
018, 0038, 0082, 2011, 2011, 182, 274,CH4_EMISSION.2011D182,ST006.EN0038-EN0082,0
019, 0038, 0082, 2011, 2011, 213, 305,CH4_EMISSION.2011D213,ST007.EN0038-EN0082,0
020, 0038, 0082, 2011, 2011, 244, 335,CH4_EMISSION.2011D244,ST008.EN0038-EN0082,0
021, 0038, 0082, 2011, 2012, 274, 001,CH4_EMISSION.2011D274,ST009.EN0038-EN0082,0
022, 0038, 0082, 2011, 2012, 305, 032,CH4_EMISSION.2011D305,ST010.EN0038-EN0082,0
023, 0038, 0082, 2011, 2012, 335, 061,CH4_EMISSION.2011D335,ST011.EN0038-EN0082,0
024, 0038, 0082, 2012, 2012, 001, 092,CH4_EMISSION.2012D001,ST000.EN0038-EN0082,0
025, 0038, 0082, 2012, 2012, 032, 122,CH4_EMISSION.2012D032,ST001.EN0038-EN0082,0
026, 0038, 0082, 2012, 2012, 061, 153,CH4_EMISSION.2012D061,ST002.EN0038-EN0082,0
027, 0038, 0082, 2012, 2012, 092, 183,CH4_EMISSION.2012D092,ST003.EN0038-EN0082,0
028, 0038, 0082, 2012, 2012, 122, 214,CH4_EMISSION.2012D122,ST004.EN0038-EN0082,0
029, 0038, 0082, 2012, 2012, 153, 245,CH4_EMISSION.2012D153,ST005.EN0038-EN0082,0
030, 0038, 0082, 2012, 2012, 183, 275,CH4_EMISSION.2012D183,ST006.EN0038-EN0082,0
031, 0038, 0082, 2012, 2012, 214, 306,CH4_EMISSION.2012D214,ST007.EN0038-EN0082,0
032, 0038, 0082, 2012, 2012, 245, 336,CH4_EMISSION.2012D245,ST008.EN0038-EN0082,0
033, 0038, 0082, 2012, 2013, 275, 001,CH4_EMISSION.2012D275,ST009.EN0038-EN0082,0
034, 0038, 0082, 2012, 2013, 306, 032,CH4_EMISSION.2012D306,ST010.EN0038-EN0082,0
035, 0038, 0082, 2012, 2013, 336, 060,CH4_EMISSION.2012D336,ST011.EN0038-EN0082,0
036, 0038, 0082, 2013, 2013, 001, 091,CH4_EMISSION.2013D001,ST000.EN0038-EN0082,0
037, 0038, 0082, 2013, 2013, 032, 121,CH4_EMISSION.2013D032,ST001.EN0038-EN0082,0
038, 0038, 0082, 2013, 2013, 060, 152,CH4_EMISSION.2013D060,ST002.EN0038-EN0082,0
039, 0038, 0082, 2013, 2013, 091, 182,CH4_EMISSION.2013D091,ST003.EN0038-EN0082,0
040, 0038, 0082, 2013, 2013, 121, 213,CH4_EMISSION.2013D121,ST004.EN0038-EN0082,0
041, 0038, 0082, 2013, 2013, 152, 244,CH4_EMISSION.2013D152,ST005.EN0038-EN0082,0
042, 0038, 0082, 2013, 2013, 182, 274,CH4_EMISSION.2013D182,ST006.EN0038-EN0082,0
043, 0038, 0082, 2013, 2013, 213, 305,CH4_EMISSION.2013D213,ST007.EN0038-EN0082,0
044, 0038, 0082, 2013, 2013, 244, 335,CH4_EMISSION.2013D244,ST008.EN0038-EN0082,0
045, 0038, 0082, 2013, 2014, 274, 001,CH4_EMISSION.2013D274,ST009.EN0038-EN0082,0
046, 0038, 0082, 2013, 2014, 305, 032,CH4_EMISSION.2013D305,ST010.EN0038-EN0082,0
047, 0038, 0082, 2013, 2014, 335, 060,CH4_EMISSION.2013D335,ST011.EN0038-EN0082,0
048, 0038, 0082, 2014, 2014, 001, 091,CH4_EMISSION.2014D001,ST000.EN0038-EN0082,0
049, 0038, 0082, 2014, 2014, 032, 121,CH4_EMISSION.2014D032,ST001.EN0038-EN0082,0
050, 0038, 0082, 2014, 2014, 060, 152,CH4_EMISSION.2014D060,ST002.EN0038-EN0082,0
051, 0038, 0082, 2014, 2014, 091, 182,CH4_EMISSION.2014D091,ST003.EN0038-EN0082,0
052, 0038, 0082, 2014, 2014, 121, 213,CH4_EMISSION.2014D121,ST004.EN0038-EN0082,0
053, 0038, 0082, 2014, 2014, 152, 244,CH4_EMISSION.2014D152,ST005.EN0038-EN0082,0
054, 0038, 0082, 2014, 2014, 182, 274,CH4_EMISSION.2014D182,ST006.EN0038-EN0082,0
055, 0038, 0082, 2014, 2014, 213, 305,CH4_EMISSION.2014D213,ST007.EN0038-EN0082,0
056, 0038, 0082, 2014, 2014, 244, 335,CH4_EMISSION.2014D244,ST008.EN0038-EN0082,0
057, 0038, 0082, 2014, 2015, 274, 001,CH4_EMISSION.2014D274,ST009.EN0038-EN0082,0
058, 0038, 0082, 2014, 2015, 305, 032,CH4_EMISSION.2014D305,ST010.EN0038-EN0082,0
059, 0038, 0082, 2014, 2015, 335, 060,CH4_EMISSION.2014D335,ST011.EN0038-EN0082,0
060, 0038, 0082, 2015, 2015, 001, 091,CH4_EMISSION.2015D001,ST000.EN0038-EN0082,0
061, 0038, 0082, 2015, 2015, 032, 121,CH4_EMISSION.2015D032,ST001.EN0038-EN0082,0
062, 0038, 0082, 2015, 2015, 060, 152,CH4_EMISSION.2015D060,ST002.EN0038-EN0082,0
063, 0038, 0082, 2015, 2015, 091, 182,CH4_EMISSION.2015D091,ST003.EN0038-EN0082,0
064, 0038, 0082, 2015, 2015, 121, 213,CH4_EMISSION.2015D121,ST004.EN0038-EN0082,0
065, 0038, 0082, 2015, 2015, 152, 244,CH4_EMISSION.2015D152,ST005.EN0038-EN0082,0
066, 0038, 0082, 2015, 2015, 182, 274,CH4_EMISSION.2015D182,ST006.EN0038-EN0082,0
067, 0038, 0082, 2015, 2015, 213, 305,CH4_EMISSION.2015D213,ST007.EN0038-EN0082,0
068, 0038, 0082, 2015, 2015, 244, 335,CH4_EMISSION.2015D244,ST008.EN0038-EN0082,0
069, 0038, 0082, 2015, 2016, 274, 001,CH4_EMISSION.2015D274,ST009.EN0038-EN0082,0
070, 0038, 0082, 2015, 2016, 305, 032,CH4_EMISSION.2015D305,ST010.EN0038-EN0082,0
071, 0038, 0082, 2015, 2016, 335, 061,CH4_EMISSION.2015D335,ST011.EN0038-EN0082,0
072, 0038, 0082, 2016, 2016, 001, 092,CH4_EMISSION.2016D001,ST000.EN0038-EN0082,0
073, 0038, 0082, 2016, 2016, 032, 122,CH4_EMISSION.2016D032,ST001.EN0038-EN0082,0
074, 0038, 0082, 2016, 2016, 061, 153,CH4_EMISSION.2016D061,ST002.EN0038-EN0082,0
075, 0038, 0082, 2016, 2016, 092, 183,CH4_EMISSION.2016D092,ST003.EN0038-EN0082,0
076, 0038, 0082, 2016, 2016, 122, 214,CH4_EMISSION.2016D122,ST004.EN0038-EN0082,0
077, 0038, 0082, 2016, 2016, 153, 245,CH4_EMISSION.2016D153,ST005.EN0038-EN0082,0
078, 0038, 0082, 2016, 2016, 183, 275,CH4_EMISSION.2016D183,ST006.EN0038-EN0082,0
079, 0038, 0082, 2016, 2016, 214, 306,CH4_EMISSION.2016D214,ST007.EN0038-EN0082,0
080, 0038, 0082, 2016, 2016, 245, 336,CH4_EMISSION.2016D245,ST008.EN0038-EN0082,0
081, 0038, 0082, 2016, 2017, 275, 001,CH4_EMISSION.2016D275,ST009.EN0038-EN0082,0
082, 0038, 0082, 2016, 2017, 306, 032,CH4_EMISSION.2016D306,ST010.EN0038-EN0082,0
083, 0038, 0082, 2016, 2017, 336, 060,CH4_EMISSION.2016D336,ST011.EN0038-EN0082,0
084, 0038, 0082, 2017, 2017, 001, 091,CH4_EMISSION.2017D001,ST000.EN0038-EN0082,0
085, 0038, 0082, 2017, 2017, 032, 121,CH4_EMISSION.2017D032,ST001.EN0038-EN0082,0
086, 0038, 0082, 2017, 2017, 060, 152,CH4_EMISSION.2017D060,ST002.EN0038-EN0082,0
087, 0038, 0082, 2017, 2017, 091, 182,CH4_EMISSION.2017D091,ST003.EN0038-EN0082,0
088, 0038, 0082, 2017, 2017, 121, 213,CH4_EMISSION.2017D121,ST004.EN0038-EN0082,0
089, 0038, 0082, 2017, 2017, 152, 244,CH4_EMISSION.2017D152,ST005.EN0038-EN0082,0
090, 0038, 0082, 2017, 2017, 182, 274,CH4_EMISSION.2017D182,ST006.EN0038-EN0082,0
091, 0038, 0082, 2017, 2017, 213, 305,CH4_EMISSION.2017D213,ST007.EN0038-EN0082,0
092, 0038, 0082, 2017, 2017, 244, 335,CH4_EMISSION.2017D244,ST008.EN0038-EN0082,0
093, 0038, 0082, 2017, 2018, 274, 001,CH4_EMISSION.2017D274,ST009.EN0038-EN0082,0
094, 0038, 0082, 2017, 2018, 305, 032,CH4_EMISSION.2017D305,ST010.EN0038-EN0082,0
095, 0038, 0082, 2017, 2018, 335, 060,CH4_EMISSION.2017D335,ST011.EN0038-EN0082,0
096, 0038, 0082, 2018, 2018, 001, 091,CH4_EMISSION.2018D001,ST000.EN0038-EN0082,0
097, 0038, 0082, 2018, 2018, 032, 121,CH4_EMISSION.2018D032,ST001.EN0038-EN0082,0
098, 0038, 0082, 2018, 2018, 060, 152,CH4_EMISSION.2018D060,ST002.EN0038-EN0082,0
099, 0038, 0082, 2018, 2018, 091, 182,CH4_EMISSION.2018D091,ST003.EN0038-EN0082,0
100, 0038, 0082, 2018, 2018, 121, 213,CH4_EMISSION.2018D121,ST004.EN0038-EN0082,0
101, 0038, 0082, 2018, 2018, 152, 244,CH4_EMISSION.2018D152,ST005.EN0038-EN0082,0
102, 0038, 0082, 2018, 2018, 182, 274,CH4_EMISSION.2018D182,ST006.EN0038-EN0082,0
103, 0038, 0082, 2018, 2018, 213, 305,CH4_EMISSION.2018D213,ST007.EN0038-EN0082,0
104, 0038, 0082, 2018, 2018, 244, 335,CH4_EMISSION.2018D244,ST008.EN0038-EN0082,0
105, 0038, 0082, 2018, 2019, 274, 001,CH4_EMISSION.2018D274,ST009.EN0038-EN0082,0
106, 0038, 0082, 2018, 2019, 305, 032,CH4_EMISSION.2018D305,ST010.EN0038-EN0082,0
107, 0038, 0082, 2018, 2019, 335, 060,CH4_EMISSION.2018D335,ST011.EN0038-EN0082,0
108, 0038, 0082, 2019, 2019, 001, 091,CH4_EMISSION.2019D001,ST000.EN0038-EN0082,0
109, 0038, 0082, 2019, 2019, 032, 121,CH4_EMISSION.2019D032,ST001.EN0038-EN0082,0
110, 0038, 0082, 2019, 2019, 060, 152,CH4_EMISSION.2019D060,ST002.EN0038-EN0082,0
111, 0038, 0082, 2019, 2019, 091, 182,CH4_EMISSION.2019D091,ST003.EN0038-EN0082,0
112, 0038, 0082, 2019, 2019, 121, 213,CH4_EMISSION.2019D121,ST004.EN0038-EN0082,0
113, 0038, 0082, 2019, 2019, 152, 244,CH4_EMISSION.2019D152,ST005.EN0038-EN0082,0
114, 0038, 0082, 2019, 2019, 182, 274,CH4_EMISSION.2019D182,ST006.EN0038-EN0082,0
115, 0038, 0082, 2019, 2019, 213, 305,CH4_EMISSION.2019D213,ST007.EN0038-EN0082,0
116, 0038, 0082, 2019, 2019, 244, 335,CH4_EMISSION.2019D244,ST008.EN0038-EN0082,0
117, 0038, 0082, 2019, 2020, 274, 001,CH4_EMISSION.2019D274,ST009.EN0038-EN0082,0
118, 0038, 0082, 2019, 2020, 305, 032,CH4_EMISSION.2019D305,ST010.EN0038-EN0082,0
119, 0038, 0082, 2019, 2020, 335, 061,CH4_EMISSION.2019D335,ST011.EN0038-EN0082,0
120, 0038, 0082, 2020, 2020, 001, 092,CH4_EMISSION.2020D001,ST000.EN0038-EN0082,0
121, 0038, 0082, 2020, 2020, 032, 122,CH4_EMISSION.2020D032,ST001.EN0038-EN0082,0
122, 0038, 0082, 2020, 2020, 061, 153,CH4_EMISSION.2020D061,ST002.EN0038-EN0082,0
